PostalCode,HubID,LMR,CourierId
0271,RUS,Regional,courier_a
0273,RUS,Regional,courier_a
0274,RUS,Regional,courier_a
0275,RUS,Regional,courier_a
0276,RUS,Regional,courier_a
0277,RUS,Regional,courier_a
0278,RUS,Regional,courier_a
0279,RUS,Regional,courier_a
0280,RUS,Regional,courier_a
0284,RUS,Regional,courier_a
0285,RUS,Regional,courier_a
0286,RUS,Regional,courier_a
0287,RUS,Regional,courier_a
0292,RUS,Main,courier_a
0299,RUS,Main,courier_a
0300,RUS,Main,courier_a
0301,RUS,Regional,courier_a
0302,RUS,Main,courier_a
0303,RUS,Main,courier_a
0304,RUS,Regional,courier_a
0305,RUS,Main,courier_a
0306,RUS,Regional,courier_a
0307,RUS,Regional,courier_a
0308,RUS,Main,courier_a
0309,RUS,Main,courier_a
0310,RUS,Regional,courier_a
0311,RUS,Main,courier_a
0312,RUS,Main,courier_a
0313,RUS,Regional,courier_a
0314,RUS,Regional,courier_a
0315,RUS,Regional,courier_a
0316,RUS,Regional,courier_a
0317,RUS,Regional,courier_a
0318,RUS,Regional,courier_a
0319,RUS,Regional,courier_a
0320,RUS,Regional,courier_a
0321,RUS,Regional,courier_a
0322,RUS,Regional,courier_a
0323,RUS,Main,courier_a
0324,RUS,Main,courier_a
0325,RUS,Regional,courier_a
0328,RUS,Regional,courier_a
0329,RUS,Regional,courier_a
0330,RUS,Main,courier_a
0331,RUS,Regional,courier_a
0332,RUS,Regional,courier_a
0333,RUS,Regional,courier_a
0334,RUS,Regional,courier_a
0335,RUS,Main,courier_a
0336,RUS,Regional,courier_a
0337,RUS,Regional,courier_a
0338,RUS,Regional,courier_a
0339,RUS,Regional,courier_a
0340,RUS,Regional,courier_a
0341,RUS,Regional,courier_a
0342,RUS,Regional,courier_a
0344,RUS,Regional,courier_a
0345,RUS,Regional,courier_a
0346,RUS,Main,courier_a
0347,RUS,Regional,courier_a
0348,RUS,Regional,courier_a
0349,RUS,Regional,courier_a
0350,RUS,Regional,courier_a
0351,RUS,Regional,courier_a
0353,RUS,Regional,courier_a
0354,RUS,Regional,courier_a
0355,RUS,Regional,courier_a
0356,RUS,Regional,courier_a
0357,RUS,Regional,courier_a
0358,RUS,Regional,courier_a
0359,RUS,Regional,courier_a
0360,RUS,Regional,courier_a
0361,PTA,Regional,courier_a
0362,RUS,Regional,courier_a
0363,RUS,Regional,courier_a
0364,RUS,Regional,courier_a
0365,RUS,Regional,courier_a
0366,RUS,Regional,courier_a
0367,RUS,Regional,courier_a
0369,RUS,Regional,courier_a
0370,RUS,Regional,courier_a
0371,RUS,Regional,courier_a
0372,RUS,Regional,courier_a
0373,RUS,Regional,courier_a
0374,RUS,Regional,courier_a
0375,RUS,Regional,courier_a
0376,RUS,Regional,courier_a
0377,RUS,Regional,courier_a
0378,RUS,Regional,courier_a
0379,RUS,Regional,courier_a
0380,RUS,Regional,courier_a
0381,RUS,Regional,courier_a
0382,RUS,Regional,courier_a
0383,RUS,Regional,courier_a
0384,RUS,Regional,courier_a
0385,RUS,Regional,courier_a
0386,RUS,Regional,courier_a
0387,RUS,Regional,courier_a
0388,RUS,Regional,courier_a
0389,RUS,Regional,courier_a
0390,RUS,Regional,courier_a
0391,RUS,Regional,courier_a
0393,RUS,Regional,courier_a
0394,RUS,Regional,courier_a
0396,RUS,Regional,courier_a
0397,RUS,Regional,courier_a
0398,RUS,Regional,courier_a
0399,RUS,Regional,courier_a
0400,PTA,Regional,courier_a
0401,PTA,Regional,courier_a
0402,KLK,Regional,courier_a
0403,PTA,Main,courier_a
0404,PTA,Regional,courier_a
0405,PTA,Regional,courier_a
0406,PTA,Regional,courier_a
0407,PTA,Regional,courier_a
0408,PTA,Regional,courier_a
0409,PTA,Regional,courier_a
0410,PTA,Regional,courier_a
0411,PTA,Regional,courier_a
0412,PTA,Regional,courier_a
0413,PTA,Regional,courier_a
0414,PTA,Regional,courier_a
0415,PTA,Regional,courier_a
0416,PTA,Regional,courier_a
0417,PTA,Regional,courier_a
0418,PTA,Regional,courier_a
0419,PTA,Regional,courier_a
0420,PTA,Regional,courier_a
0421,PTA,Regional,courier_a
0422,PTA,Regional,courier_a
0423,PTA,Regional,courier_a
0424,PTA,Regional,courier_a
0425,PTA,Regional,courier_a
0426,PTA,Regional,courier_a
0427,PTA,Regional,courier_a
0428,PTA,Regional,courier_a
0429,PTA,Regional,courier_a
0430,PTA,Regional,courier_a
0431,PTA,Regional,courier_a
0432,PTA,Regional,courier_a
0433,PTG,Regional,courier_a
0434,PTA,Regional,courier_a
0435,PTA,Regional,courier_a
0436,PTG,Regional,courier_a
0437,PTG,Regional,courier_a
0438,PTG,Regional,courier_a
0439,PTA,Regional,courier_a
0440,PTA,Regional,courier_a
0441,PTA,Regional,courier_a
0442,PTA,Regional,courier_a
0443,PTA,Regional,courier_a
0444,PTA,Regional,courier_a
0445,PTA,Regional,courier_a
0447,PTA,Regional,courier_a
0448,PTG,Regional,courier_a
0449,WIT,Regional,courier_a
0450,PTA,Regional,courier_a
0451,WIT,Regional,courier_a
0452,WIT,Regional,courier_a
0453,WIT,Regional,courier_a
0454,WIT,Regional,courier_a
0455,WIT,Regional,courier_a
0456,WIT,Regional,courier_a
0457,WIT,Regional,courier_a
0458,WIT,Regional,courier_a
0459,WIT,Regional,courier_a
0460,WIT,Regional,courier_a
0461,WIT,Regional,courier_a
0462,WIT,Regional,courier_a
0464,WIT,Regional,courier_a
0465,WIT,Regional,courier_a
0466,WIT,Regional,courier_a
0467,PTG,Regional,courier_a
0468,WIT,Regional,courier_a
0469,WIT,Regional,courier_a
0470,WIT,Regional,courier_a
0471,WIT,Regional,courier_a
0472,WIT,Regional,courier_a
0473,WIT,Regional,courier_a
0474,WIT,Regional,courier_a
0475,WIT,Regional,courier_a
0476,WIT,Regional,courier_a
0477,WIT,Regional,courier_a
0478,WIT,Regional,courier_a
0479,WIT,Regional,courier_a
0480,PTA,Regional,courier_a
0481,PTA,Regional,courier_a
0482,PTA,Regional,courier_a
0483,PTA,Regional,courier_a
0484,WIT,Regional,courier_a
0485,WIT,Regional,courier_a
0486,PTA,Regional,courier_a
0487,RUS,Regional,courier_a
0488,WIT,Regional,courier_a
0489,PTG,Regional,courier_a
0490,WIT,Regional,courier_a
0491,WIT,Regional,courier_a
0492,PTA,Regional,courier_a
0493,WIT,Regional,courier_a
0494,WIT,Regional,courier_a
0495,WIT,Regional,courier_a
0496,WIT,Regional,courier_a
0497,RUS,Regional,courier_a
0498,PTA,Regional,courier_a
0499,PTA,Regional,courier_a
0500,RUS,Regional,courier_a
0501,RUS,Regional,courier_a
0502,WIT,Regional,courier_a
0503,PTA,Regional,courier_a
0504,PTA,Regional,courier_a
0505,PTA,Regional,courier_a
0506,PTA,Regional,courier_a
0507,PTA,Regional,courier_a
0508,PTA,Regional,courier_a
0510,PTG,Regional,courier_a
0512,PTG,Regional,courier_a
0513,RUS,Regional,courier_a
0514,RUS,Regional,courier_a
0515,PTG,Regional,courier_a
0516,PTG,Regional,courier_a
0517,PTG,Regional,courier_a
0518,PTA,Regional,courier_a
0530,PTG,Regional,courier_a
0531,PTG,Regional,courier_a
0532,PTG,Regional,courier_a
0533,PTG,Regional,courier_a
0534,PTG,Regional,courier_a
0536,PTG,Regional,courier_a
0537,WIT,Regional,courier_a
0539,PTG,Regional,courier_a
0541,PTG,Regional,courier_a
0555,PTG,Regional,courier_a
0556,PTG,Regional,courier_a
0557,PTG,Regional,courier_a
0560,PTG,Regional,courier_a
0561,PTA,Regional,courier_a
0562,PTG,Regional,courier_a
0564,PTG,Regional,courier_a
0580,PTG,Regional,courier_a
0600,PTG,Regional,courier_a
0601,PTG,Regional,courier_a
0602,PTG,Regional,courier_a
0603,PTG,Regional,courier_a
0604,PTG,Regional,courier_a
0605,PTG,Regional,courier_a
0606,PTG,Regional,courier_a
0607,PTG,Regional,courier_a
0608,PTG,Regional,courier_a
0609,PTG,Regional,courier_a
0610,PTG,Regional,courier_a
0611,PTG,Regional,courier_a
0612,PTG,Regional,courier_a
0613,PTG,Regional,courier_a
0615,PTG,Regional,courier_a
0616,PTG,Regional,courier_a
0617,PTG,Regional,courier_a
0618,PTG,Regional,courier_a
0619,PTG,Regional,courier_a
0620,PTG,Regional,courier_a
0621,PTG,Regional,courier_a
0622,PTG,Regional,courier_a
0623,PTG,Regional,courier_a
0624,PTG,Regional,courier_a
0626,PTG,Regional,courier_a
0628,PTG,Regional,courier_a
0629,PTG,Regional,courier_a
0630,PTG,Regional,courier_a
0631,PTG,Regional,courier_a
0632,PTG,Regional,courier_a
0633,PTG,Regional,courier_a
0634,PTG,Regional,courier_a
0635,PTG,Regional,courier_a
0636,PTG,Regional,courier_a
0637,PTG,Regional,courier_a
0638,PTG,Regional,courier_a
0639,PTG,Regional,courier_a
0640,PTG,Regional,courier_a
0641,PTG,Regional,courier_a
0642,PTG,Regional,courier_a
0643,PTG,Regional,courier_a
0644,PTG,Regional,courier_a
0645,PTG,Regional,courier_a
0646,PTG,Regional,courier_a
0647,PTG,Regional,courier_a
0648,PTG,Regional,courier_a
0649,PTG,Regional,courier_a
0650,PTG,Regional,courier_a
0651,PTG,Regional,courier_a
0652,PTG,Regional,courier_a
0654,PTG,Regional,courier_a
0657,PTG,Regional,courier_a
0658,PTG,Regional,courier_a
0659,PTG,Regional,courier_a
0660,PTG,Regional,courier_a
0690,PTG,Regional,courier_a
0697,PTG,Regional,courier_a
0699,PTG,Main,courier_a
0700,PTG,Regional,courier_a
0701,PTG,Regional,courier_a
0702,PTG,Regional,courier_a
0703,PTG,Regional,courier_a
0704,PTG,Regional,courier_a
0705,PTG,Regional,courier_a
0706,PTG,Regional,courier_a
0707,PTG,Regional,courier_a
